,0,1
562,562.0,3.982380183781294e-07
563,563.0,3.9867760456481275e-07
564,564.0,3.9911558080153457e-07
565,565.0,3.995523037384274e-07
566,566.0,3.999880815621944e-07
567,567.0,4.004225252024652e-07
568,568.0,4.008562995045998e-07
569,569.0,4.012898206494014e-07
570,570.0,4.0172278029940354e-07
571,571.0,4.0215479561997043e-07
572,572.0,4.0258528115200307e-07
573,573.0,4.0301507995931363e-07
574,574.0,4.03444355896428e-07
575,575.0,4.0387272560806485e-07
576,576.0,4.043007067808484e-07
577,577.0,4.04728221450213e-07
578,578.0,4.051548840808886e-07
579,579.0,4.0558101557141503e-07
580,580.0,4.0600639318312314e-07
581,581.0,4.064310241358292e-07
582,582.0,4.0685537194383565e-07
583,583.0,4.072792336346218e-07
584,584.0,4.0770213313763077e-07
585,585.0,4.081242516668028e-07
586,586.0,4.08546194625107e-07
587,587.0,4.089676337665118e-07
588,588.0,4.093878588046046e-07
589,589.0,4.0980705891680724e-07
590,590.0,4.102259969351676e-07
591,591.0,4.106438874881826e-07
592,592.0,4.110604729605824e-07
593,593.0,4.114769382864564e-07
594,594.0,4.118931224394622e-07
595,595.0,4.12308585024651e-07
596,596.0,4.127235170344866e-07
597,597.0,4.1313760281804694e-07
598,598.0,4.1355096768637463e-07
599,599.0,4.139640849047242e-07
600,600.0,4.143770059719716e-07
601,601.0,4.1478956122945076e-07
602,602.0,4.15201598207405e-07
603,603.0,4.156132900702742e-07
604,604.0,4.160247786307854e-07
605,605.0,4.1643611391155406e-07
606,606.0,4.1684689487045837e-07
607,607.0,4.172559087970207e-07
608,608.0,4.176634803479304e-07
609,609.0,4.180704705553022e-07
610,610.0,4.184766837137836e-07
611,611.0,4.1888228504911863e-07
612,612.0,4.1928701318452725e-07
613,613.0,4.1969087633266517e-07
614,614.0,4.200938424708978e-07
615,615.0,4.2049566865948915e-07
616,616.0,4.208966064889428e-07
617,617.0,4.2129680871143256e-07
618,618.0,4.2169643914192325e-07
619,619.0,4.220955754155478e-07
620,620.0,4.2249438140453354e-07
621,621.0,4.2289197199776405e-07
622,622.0,4.232879038090216e-07
623,623.0,4.2368299952946263e-07
624,624.0,4.240775644339626e-07
625,625.0,4.244715199245076e-07
626,626.0,4.2486492825357677e-07
627,627.0,4.2525752514011837e-07
628,628.0,4.2564917603351284e-07
629,629.0,4.260406101456696e-07
630,630.0,4.2643233515059e-07
631,631.0,4.2682350975281597e-07
632,632.0,4.272138009185186e-07
633,633.0,4.2760368070606236e-07
634,634.0,4.279930290239597e-07
635,635.0,4.283815822976658e-07
636,636.0,4.287693472137202e-07
637,637.0,4.291564227577318e-07
638,638.0,4.295429886867871e-07
639,639.0,4.29929114376852e-07
640,640.0,4.3031457743762516e-07
641,641.0,4.306992799952028e-07
642,642.0,4.3108290680632865e-07
643,643.0,4.3146520816295375e-07
644,644.0,4.318466225923648e-07
645,645.0,4.3222749699260003e-07
646,646.0,4.3260784335432655e-07
647,647.0,4.329879762963986e-07
648,648.0,4.333676593932708e-07
649,649.0,4.33746756271339e-07
650,650.0,4.341254382905846e-07
651,651.0,4.345036041132345e-07
652,652.0,4.3488111252582614e-07
653,653.0,4.3525801951065897e-07
654,654.0,4.356342485427384e-07
655,655.0,4.360097668159836e-07
656,656.0,4.363846993344776e-07
657,657.0,4.367595240504758e-07
658,658.0,4.371345131133282e-07
659,659.0,4.375092073497128e-07
660,660.0,4.37883474048275e-07
661,661.0,4.382569366884926e-07
662,662.0,4.3862974844987046e-07
663,663.0,4.390022725981508e-07
664,664.0,4.3937406924080987e-07
665,665.0,4.397449899349922e-07
666,666.0,4.4011515328297284e-07
667,667.0,4.4048480251822205e-07
668,668.0,4.408542047187394e-07
669,669.0,4.4122332082791997e-07
670,670.0,4.4159211394939763e-07
671,671.0,4.41960545722716e-07
